modelo,estrategia,temperatura,linguagem,task_identity,spec_completeness,value_fidelity,format_compliance,output_specification,ambiguity_level,total,aprovado,modo_de_falha
gemma3-4b,cot,0,cpp,3,1,1,3,1,1,10,nao,"Variable Values contradiz o meta-prompt: afirma ""max_depth = 8"" e ""stretch_depth = 9"" (meta-prompt: max_depth = max(min_depth + 2, N) = 10 para N=10; stretch_depth = max_depth + 1 = 11); formula iterations = 1 << (max_depth - depth + min_depth) foi omitida; exemplo de saida inventado com quatro linhas ""stretch tree of depth 5/7/9/11"" e prefixo ""Depth\t"" no lugar de ""I\t trees of depth D\t check: C""; Notes afirma que ""o valor exato de C nao e importante"", contrariando a validacao byte-exata por diff"
gemma3-4b,cot,0,java,3,2,3,3,2,2,15,sim,"Formato de saida incompleto: da ""stretch tree of depth D\t check: C"" (aplicando-a erroneamente a cada profundidade) e ""long lived tree of depth D\t check: C"", mas omite a linha ""I\t trees of depth D\t check: C"" exigida pelo meta-prompt; nao menciona o passo 2 no laco de profundidades"
gemma3-4b,cot,0,python,3,2,2,1,1,1,10,nao,"Despejou um programa Python completo dentro de ### Prompt Structure apesar do ""Do not generate Python code""; Variable Values traz max_depth = 6, stretch_depth = 7 e iterations = 16 (meta-prompt: max_depth = max(min_depth + 2, N) = 10 e stretch_depth = 11 para N=10); o codigo usa iterations = 1 << (max_depth - min_depth + 1) no lugar de 1 << (max_depth - depth + min_depth); formato de saida descrito como ""depth\t check: C"" com C = 'Y'/'N', enquanto o meta-prompt exige ""stretch tree of depth D\t check: C"", ""I\t trees of depth D\t check: C"" e ""long lived tree of depth D\t check: C"""
gemma3-4b,cot,0.7,cpp,3,2,3,3,2,2,15,sim,"Formato de saida so parcialmente transcrito: da ""stretch tree of depth D\t check: C"" e depois generaliza (""followed by other tree details""), omitindo os literais ""I\t trees of depth D\t check: C"" e ""long lived tree of depth D\t check: C""; nao menciona o passo 2 no laco de profundidades"
gemma3-4b,cot,0.7,java,3,2,3,3,1,2,14,nao,"Unica linha de saida fornecida e ""depth\t trees of depth D\t check: C"", corrompendo o prefixo ""I\t"" do meta-prompt (""I\t trees of depth D\t check: C""); as linhas ""stretch tree of depth D\t check: C"" e ""long lived tree of depth D\t check: C"" nao aparecem em lugar nenhum"
gemma3-4b,cot,0.7,python,3,2,2,1,2,1,11,nao,"Despejou programa Python completo dentro de ### Prompt Structure apesar do ""Do not generate Python code""; o codigo usa iterations = 1 << (max_depth - min_depth + 1) contradizendo a formula correta 1 << (max_depth - depth + min_depth) enunciada na prosa; Variable Values fixa max_depth = 6, stretch_depth = 7 e iterations = 16 (meta-prompt: max_depth = max(min_depth + 2, N) = 10 e stretch_depth = 11 para N=10); prefixo da linha de trees dado como ""depth\t"" em vez de ""I\t"""
gemma3-4b,fewshot,0,cpp,3,2,2,2,1,1,11,nao,"Exemplos de saida inventados: ""stretch tree of depth 4"", ""trees of depth 5"" ate ""trees of depth 10"" (passo 1, sem o prefixo ""I\t"") e ""long lived tree of depth 4"", contrariando o meta-prompt, que especifica ""I\t trees of depth D\t check: C"" com passo 2 e stretch_depth = max_depth + 1 (= 11 para N=10); ignorou o codigo n-body fornecido e inventou um esqueleto C++ com prints hardcoded"
gemma3-4b,fewshot,0,java,3,2,2,2,1,1,11,nao,"Manda ""usar o exemplo nbody fornecido como template"" mas nunca inclui o codigo do exemplo, esvaziando a tecnica few-shot; exemplo de saida inventado repete ""stretch tree of depth 4/5"" e ""long lived tree of depth 4/5"" por profundidade e usa ""trees of depth 4"" sem o prefixo ""I\t"" do meta-prompt (""I\t trees of depth D\t check: C""), alem de contradizer stretch_depth = max_depth + 1 = 11 para N=10"
gemma3-4b,fewshot,0,python,2,1,1,1,1,1,7,nao,"Nao gerou prompt: despejou tres copias do codigo n-body de exemplo (PI, SOLAR_MASS, DAYS_PER_YEAR, corpos do sistema solar) e foi truncado no meio da terceira; nenhum parametro do binary-trees aparece (faltam min_depth = 4, max_depth = max(min_depth + 2, N), stretch_depth = max_depth + 1 e iterations = 1 << (max_depth - depth + min_depth)); so existe a secao ### Prompt Structure, sem Key Requirements, Variable Values e Notes; nenhum formato de saida"
gemma3-4b,fewshot,0.7,cpp,3,2,2,2,1,2,12,nao,"Inventou tres exemplos C++ identicos e triviais em vez de usar o codigo n-body fornecido; formato de saida dado como ""Depth\tTrees of depth D\tCheck: C"", corrompendo maiusculas e o prefixo do meta-prompt (""I\t trees of depth D\t check: C"") e omitindo as linhas de stretch tree e long lived tree; Variable Values fixa max_depth = 6 e stretch_depth = 7 (meta-prompt: max_depth = max(min_depth + 2, N) = 10 e stretch_depth = 11 para N=10)"
gemma3-4b,fewshot,0.7,java,3,1,2,2,2,1,11,nao,"A formula max_depth = max(min_depth + 2, N) do meta-prompt nunca chega ao prompt-alvo (o texto so diz ""max_depth calculated based on N""), assim como a formula de iterations, que fica apenas na secao Variable Values; os exemplos mostram ""stretch tree of depth 4"" e ""stretch tree of depth 5"", contradizendo o proprio Variable Values (stretch_depth = 11 para N=10) e o meta-prompt (stretch_depth = max_depth + 1)"
gemma3-4b,fewshot,0.7,python,3,2,2,2,1,1,11,nao,"Exemplo de saida inventado com 15 linhas repetindo o trio stretch/trees/long lived para as profundidades 4 a 8, quando o meta-prompt pede uma linha de stretch, uma linha ""I\t trees of depth D\t check: C"" por profundidade em passo 2 e uma linha de long lived ao final; Variable Values traz max_depth = 7, stretch_depth = 8 e ""iterations = 1 << (7 - 4 + 4) = 16"" (o proprio calculo esta errado: 1 << 7 = 128; e pelo meta-prompt max_depth = max(min_depth + 2, N) = 10 e stretch_depth = 11 para N=10); faltou a secao ### Notes"
ministral-3.3b,cot,0,cpp,3,3,2,3,3,2,16,sim,"Nota de borda contradiz a formula do meta-prompt: ""Handle N < 6 (e.g., max_depth = N)"", quando max_depth = max(min_depth + 2, N) da 6 para qualquer N < 6; acrescentou um campo ""int data"" ao no, que o meta-prompt define apenas com ponteiros left/right"
