modelo,estrategia,temperatura,linguagem,task_identity,spec_completeness,value_fidelity,format_compliance,output_specification,ambiguity_level,total,aprovado,modo_de_falha
gemma3-4b,cot,0,cpp,3,3,3,3,3,2,17,sim,"Sem falhas de valor; rotula o mapeamento como 'C = 2.0 * x / N - 1.5' em vez de real(C); inverte a nomenclatura de cor (diz in-set = branco, PBM P4 trata bit 1 = preto), embora o valor do bit esteja correto (bit 1 = in set); momento da checagem de escape pouco explicito"
gemma3-4b,cot,0,java,3,3,3,3,3,2,17,sim,"Todos os valores verbatim; glosa incorreta 'PBM com pixel depth de 4 (P4)' (P4 e o magic number do formato binario, nao profundidade de bits); asteriscos escapados em markdown (Z = Z\*Z + C, 2.0 \* x / N)"
gemma3-4b,cot,0,python,3,3,3,3,2,2,16,sim,"Diz 'Pack 8 bits per pixel' e repete em Variable Values '8 bits per pixel'; o correto conforme o meta-prompt e 'pixels packed 8 per byte' (1 bit por pixel); 'Use bit 1 as MSB' confunde a semantica do bit (bit 1 = in set) com a ordem de empacotamento (MSB first)"
gemma3-4b,cot,0.7,cpp,3,2,2,1,2,2,12,nao,"Despeja programa C++ completo dentro de Prompt Structure (o meta-prompt proibe: 'Do not generate C++ code'); o codigo usa std::abs(z) <= 2.0*2.0 (magnitude nao-quadrada contra limiar quadrado) quando o correto e zr*zr + zi*zi <= lim; inverte o bit (imprime '0' quando iterations == 50, o correto e bit 1 = in set); imprime ASCII '0 '/'1 ' com espacos e quebra de linha em vez de bits empacotados 8 por byte"
gemma3-4b,cot,0.7,java,3,2,2,3,2,1,13,nao,"Diz 'Each pixel is represented by a single byte, where the MSB indicates ... The LSB is unused'; o correto e 'Pixels packed 8 per byte, MSB first' (1 bit por pixel); isso contradiz a propria regra de padding do arquivo ('pad the last byte of each row if N is not divisible by 8'), que so faz sentido com 8 pixels por byte - duas leituras produzem arquivos de tamanhos diferentes"
gemma3-4b,cot,0.7,python,3,2,2,1,2,2,12,nao,"Despeja script Python completo dentro de Prompt Structure (proibido pelo meta-prompt); o codigo usa print('P4\n') e print(str(N)+' '+str(N)+'\n'), gerando newlines extras em vez do header exato 'P4\n' + 'N N\n'; imprime int(bin(i)[2:].zfill(8)) (indice de iteracao em ASCII) em vez dos bits empacotados; checa o escape sobre o Z anterior a atualizacao"
gemma3-4b,fewshot,0,cpp,3,1,2,2,2,1,11,nao,"Omite completamente o mapeamento de coordenadas (o meta-prompt exige real(C) = 2.0 * x / N - 1.5 e imag(C) = 2.0 * y / N - 1.0) e a formula de iteracao Z = Z*Z + C a partir de Z = (0,0); substitui o exemplo n-body exigido por exemplos inventados com regioes erradas '[-0.8, 0.8] x [-0.8, 0.8]' e '[-0.5, 0.5] x [-0.5, 0.5]', quando o correto e [-1.5-i, 0.5+i] (real em [-1.5, 0.5], imag em [-1.0, 1.0])"
gemma3-4b,fewshot,0,java,3,2,3,2,3,2,15,sim,"Valores corretos, inclusive a regiao [-1.5, 0.5] x [-1.0, 1.0]; ignora o exemplo n-body Java exigido pelo meta-prompt e inventa tres stubs Mandelbrot vazios; mapeamento e formula de iteracao aparecem so em Variable Values, ausentes do texto do prompt"
gemma3-4b,fewshot,0,python,3,2,2,2,2,2,13,sim,"Diz 'packed 8 bits per pixel, MSB first'; o correto e 'pixels packed 8 per byte' (1 bit por pixel); ignora o exemplo n-body Python exigido e usa tres blocos vazios ('# ... Your Mandelbrot set code here ...') como exemplos; validacao com cmp para N=200 so aparece em Notes"
gemma3-4b,fewshot,0.7,cpp,3,2,3,2,2,2,14,sim,"Nenhum valor corrompido; omite a regra de padding do meta-prompt ('If N is not divisible by 8, the last byte of each row is padded with zeros on the right') e a instrucao de usar magnitude quadrada; ignora o exemplo n-body exigido e usa dois stubs C++ identicos e vazios; saida inteira envolvida em cerca ```text"
