### Prompt Structure
You are an expert C++ programmer tasked with implementing the Mandelbrot set benchmark problem from the Computer Language Benchmarks Game. Your goal is to generate a complete C++ program that plots the Mandelbrot set and outputs it in PBM P4 format, ensuring it's fully functional and verifiable against a reference implementation.

First, let’s break down the requirements step-by-step:

1.  **Input:** The program must accept an integer `N` as a command-line argument, representing the size of the bitmap (N x N).
2.  **Mandelbrot Calculation:** Implement the Mandelbrot set calculation using the following steps:
    *   Define the iteration limit to be 50.
    *   Set the escape threshold `lim` to 2.0 * 2.0.
    *   For each point (x, y) in the complex plane within the range [-1.5 - i, 0.5 + i], iterate:
        *   Calculate `C = 2.0 * x / N - 1.5` and `imag(C) = 2.0 * y / N - 1.0`. These map the pixel coordinates to the complex plane.
        *   Initialize `Z = 0 + 0i`.
        *   Iterate up to 50 times: `Z = Z * Z + C`.
        *   Calculate the squared magnitude of `Z`: `zr*zr + zi*zi`.
        *   If `zr*zr + zi*zi > lim`, then the point escapes and set the corresponding pixel to black (0). Otherwise, set it to white (1).
3.  **Output:** The program must output the resulting bitmap in PBM P4 format:
    *   Start with the header "P4\n" followed by "N N\n".
    *   Pack the pixel data into bytes, where each byte represents 8 pixels (MSB first). Use a bitmask to set the appropriate bits for black and white.
    *   If `N` is not divisible by 8, pad the last byte of each row with zeros on the right.
    *   Write the header and binary pixel data to standard output (stdout).
4.  **Verification:** The generated output should be identical to the reference implementation when validated using the `cmp` command for N=200.

Now, write the C++ code to implement this algorithm. Ensure you use squared magnitude to avoid square root calculations and that all parameters are used exactly as specified in the problem description.  Focus on clarity, efficiency, and correctness.
### Key Requirements
*   C++ implementation of the Mandelbrot set algorithm.
*   Command-line argument parsing for `N`.
*   Fixed iteration limit (50).
*   Fixed escape threshold (`lim = 2.0 * 2.0`).
*   PBM P4 output format with correct header and byte packing.
*   Byte-by-byte output to stdout.
*   Padding of the last byte in each row if `N` is not divisible by 8.
*   Verification against a reference implementation using `cmp` for N=200.
### Variable Values
*   Maximum iterations: 50
*   Escape threshold (squared): lim = 2.0 * 2.0
*   Complex number initialization: Z = (0, 0)
*   Coordinate mapping: real(C) = 2.0 * x / N - 1.5; imag(C) = 2.0 * y / N - 1.0
*   Pixel representation: Bit 1 = in set (1), Bit 0 = not in set (0)
*   Output format: PBM P4
### Notes
This prompt emphasizes a step-by-step approach to guide the LLM towards generating correct and complete code. The inclusion of specific instructions regarding parameter values, output format, and verification helps minimize ambiguity and increase the likelihood of producing a functional solution that meets all requirements.  The chain-of-thought style encourages the model to think through the problem logically before generating the code.
